ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes,TARGET
42,F,45.0,Casado,Ingenieria en computacion,Institucion publica,Iphone ,10.0,3.0,Si,31.0,7.0,0.0,0.0,31.0,Perfil_2
112,F,30.0,Soltero,Ingenieria en computacion,Institucion publica,Nokia,10.0,3.0,Si,0.0,7.0,1.0,0.0,0.0,Perfil_4
212,M,45.0,Casado,Desempleados,Sector privado,Iphone 6,10.0,6.0,Si,1.0,1.0,15.0,0.0,4.0,Perfil_4
156,F,30.0,Casado,Ingenieria en computacion,Sector privado,General Mobile,10.0,6.0,No,,50.0,15.0,0.0,0.0,Perfil_2
228,F,24.0,Casado,Servidor publico,Sector privado,Smartphone,5.0,6.0,Si,4.0,7.0,0.0,0.0,15.0,Perfil_4
155,M,35.0,,Cajero,Sector privado,Samsung,5.0,4.0,No,7.0,0.0,1.0,0.0,0.0,Perfil_4
52,M,24.0,Casado,Enfermera,Institucion publica,Samsung 7+ Edge,5.0,3.0,Si,31.0,4.0,1.0,0.0,0.0,Perfil_4
123,M,30.0,Casado,Profesor,Sector privado,HTC M8,5.0,0.0,Si,0.0,0.0,0.0,15.0,1.0,Perfil_4
185,F,50.0,Casado,Ingeniero,Institucion publica,,5.0,3.0,No,0.0,0.0,0.0,1.0,30.0,Perfil_4
249,M,35.0,Casado,,Institucion publica,Iphone,10.0,3.0,Si,31.0,1.0,0.0,0.0,0.0,Perfil_4
7,F,30.0,Soltero,Ingeniero,Institucion publica,Asus ZenFone,15.0,3.0,Si,50.0,31.0,1.0,0.0,0.0,Perfil_2
50,M,30.0,Casado,Servidor publico,,Asus,5.0,6.0,No,31.0,7.0,0.0,0.0,0.0,Perfil_4
241,M,45.0,Casado,Profesor,Institucion publica,SONY,5.0,3.0,No,7.0,4.0,0.0,0.0,31.0,Perfil_4
82,F,30.0,Casado,AlumNo,,Iphone 6,10.0,0.0,Si,31.0,,0.0,0.0,35.0,Perfil_5
218,M,30.0,Casado,Desempleados,Institucion publica,,5.0,0.0,Si,50.0,4.0,0.0,0.0,31.0,Perfil_3
240,M,40.0,Soltero,Ingeniero,Sector privado,Smartphone,5.0,7.0,No,0.0,31.0,1.0,0.0,31.0,Perfil_3
68,M,45.0,Soltero,Profesor,Institucion publica,SONY XPER?A 75,10.0,0.0,Si,0.0,1.0,0.0,0.0,4.0,Perfil_4
36,M,40.0,Soltero,Trabajador,Sector privado,Samsung 7+ Edge,5.0,3.0,Si,7.0,1.0,1.0,0.0,15.0,Perfil_4
214,F,50.0,Soltero,Servidor publico,Sector privado,Sony,5.0,3.0,Si,50.0,1.0,1.0,0.0,31.0,Perfil_2
124,F,35.0,Casado,,Institucion publica,Iphone ,5.0,0.0,Si,1.0,50.0,15.0,0.0,15.0,Perfil_2
207,M,35.0,Soltero,Profesor,Sector privado,LG G3,10.0,3.0,Si,31.0,0.0,0.0,0.0,15.0,Perfil_3
231,F,40.0,Casado,Desempleados,Sector privado,Samsung,10.0,6.0,Si,1.0,4.0,1.0,15.0,0.0,Perfil_4
175,M,30.0,Soltero,Profesor,Institucion publica,Samsung,5.0,3.0,No,30.0,7.0,1.0,0.0,31.0,Perfil_2
129,M,35.0,Soltero,Director,Sector privado,Iphone 5S,10.0,,Si,1.0,50.0,0.0,0.0,31.0,Perfil_5
245,F,35.0,Casado,Ingeniero,Sector privado,Asus,10.0,4.0,No,1.0,4.0,0.0,0.0,30.0,Perfil_4
93,M,30.0,Soltero,Ingenieria en computacion,Sector privado,Samsung,5.0,0.0,Si,7.0,4.0,1.0,0.0,0.0,Perfil_4
5,M,30.0,Soltero,Ingeniero electrico,Institucion publica,Samsung,15.0,7.0,No,31.0,7.0,1.0,0.0,0.0,Perfil_3
149,M,30.0,Casado,,Sector privado,0,10.0,7.0,Si,7.0,7.0,1.0,0.0,31.0,Perfil_3
189,M,30.0,Soltero,Ingenieria en computacion,Institucion publica,ASUS,10.0,3.0,Si,0.0,0.0,31.0,0.0,35.0,Perfil_2
113,M,40.0,Soltero,Ingenieria en computacion,Institucion publica,Iphone ,5.0,6.0,Si,0.0,7.0,1.0,0.0,,Perfil_4
125,F,24.0,Casado,Ingeniero biomedico,Institucion publica,LG,5.0,4.0,No,31.0,0.0,0.0,0.0,15.0,Perfil_3
67,F,35.0,Casado,Ingeniero biomedico,Institucion publica,Iphone 5,5.0,7.0,Si,0.0,50.0,1.0,0.0,4.0,Perfil_3
86,M,40.0,Soltero,Ingeniero de informacion,Desempleados,,0.0,6.0,Si,1.0,7.0,31.0,0.0,0.0,Perfil_4
179,F,30.0,Casado,Medico,Sector privado,General mobile,5.0,7.0,Si,31.0,0.0,0.0,0.0,1.0,Perfil_4
121,M,35.0,Soltero,Profesor,Sector privado,Iphone 6,5.0,3.0,No,1.0,0.0,0.0,0.0,31.0,Perfil_4
161,M,24.0,Soltero,,Sector privado,Iphone ,5.0,0.0,Si,30.0,31.0,1.0,15.0,7.0,Perfil_2
146,F,40.0,Soltero,Profesor,Sector privado,Iphone 5S,10.0,3.0,Si,50.0,7.0,0.0,0.0,35.0,Perfil_1
82,F,24.0,Soltero,Analista de informacion,Desempleados,Samsung,0.0,6.0,Si,1.0,31.0,15.0,0.0,0.0,Perfil_3
99,M,30.0,Casado,,Institucion publica,Smartphone,0.0,3.0,Si,7.0,7.0,31.0,31.0,15.0,Perfil_2
84,M,24.0,Soltero,Enfermera,Sector privado,Asus ZenFone Selfie,5.0,7.0,No,,7.0,1.0,0.0,,Perfil_4
40,F,35.0,Soltero,Profesor,Institucion publica,,10.0,,Si,31.0,31.0,0.0,31.0,1.0,Perfil_5
36,M,50.0,Soltero,,Desempleados,Samsung Note 5,10.0,3.0,No,0.0,7.0,31.0,1.0,4.0,Perfil_3
142,F,24.0,Casado,Enfermera,Sector privado,Iphone 6,0.0,,Si,1.0,50.0,1.0,,31.0,Perfil_2
215,F,30.0,Casado,Ingeniero de informacion,Sector privado,Iphone 6S,5.0,7.0,Si,31.0,31.0,0.0,0.0,31.0,Perfil_1
26,F,50.0,Soltero,Profesor,Institucion publica,Samsung,5.0,3.0,No,31.0,0.0,1.0,1.0,30.0,Perfil_3
138,M,30.0,Casado,Ingenieria en computacion,Institucion publica,Smartphone,5.0,6.0,Si,4.0,50.0,31.0,0.0,0.0,Perfil_2
8,M,30.0,Casado,Ingeniero de software,Sector privado,Iphone  5S,5.0,7.0,Si,31.0,1.0,1.0,0.0,30.0,Perfil_2
120,M,40.0,Casado,Analista de informacion,Sector privado,Samsung,5.0,3.0,Si,50.0,31.0,1.0,1.0,0.0,Perfil_2
61,M,45.0,Soltero,ArtesaNo,Sector privado,Samsung S7+,5.0,3.0,Si,1.0,1.0,31.0,0.0,1.0,Perfil_4
24,M,45.0,Casado,Ingenieria en computacion,Desempleados,Iphone 4S,10.0,7.0,Si,31.0,31.0,0.0,0.0,0.0,Perfil_2
111,M,35.0,Casado,Ingenieria en computacion,Desempleados,Samsung S7+,5.0,3.0,No,1.0,1.0,0.0,1.0,0.0,Perfil_4
119,M,40.0,Soltero,adquisitivo,Sector privado,,5.0,3.0,Si,4.0,0.0,31.0,0.0,31.0,Perfil_2
30,F,35.0,Casado,Servidor publico,Institucion publica,Iphone ,,3.0,Si,0.0,30.0,0.0,0.0,7.0,Perfil_5
241,F,30.0,Casado,Servidor publico,Sector privado,Iphone ,5.0,6.0,Si,7.0,4.0,0.0,15.0,0.0,Perfil_4
154,M,30.0,Soltero,AlumNo,Institucion publica,Samsung S3,5.0,0.0,No,0.0,1.0,0.0,0.0,15.0,Perfil_4
144,M,24.0,Casado,Servidor publico,Sector privado,Iphone 7S,5.0,6.0,No,31.0,0.0,1.0,0.0,0.0,Perfil_4
59,M,30.0,Soltero,Desempleados,Sector privado,Iphone ,10.0,0.0,No,30.0,31.0,15.0,1.0,31.0,Perfil_1
73,,35.0,Soltero,Quimico,Selfemployed ,Samsung Note 3,10.0,3.0,Si,0.0,31.0,1.0,0.0,0.0,Perfil_4
29,M,30.0,Casado,Cajero,Selfemployed ,Iphone 5,0.0,4.0,Si,31.0,7.0,1.0,0.0,7.0,Perfil_4
224,M,35.0,Casado,AlumNo,Sector privado,LG G2,5.0,3.0,Si,50.0,30.0,1.0,0.0,31.0,Perfil_1
40,M,24.0,Soltero,,Selfemployed ,,5.0,3.0,Si,4.0,31.0,0.0,,30.0,Perfil_5
109,F,24.0,Soltero,Ingenieria en computacion,Institucion publica,Samsung j,10.0,7.0,Si,,31.0,1.0,0.0,0.0,Perfil_3
29,M,50.0,Casado,Ingenieria en computacion,Desempleados,Samsung,0.0,3.0,Si,50.0,7.0,0.0,0.0,4.0,Perfil_3
11,F,35.0,Soltero,Ingeniero de software,Desempleados,Iphone 5S,5.0,3.0,Si,31.0,31.0,1.0,15.0,15.0,Perfil_1
133,F,30.0,Soltero,Ingenieria en computacion,Institucion publica,Iphone 6+,5.0,4.0,Si,31.0,1.0,0.0,15.0,,Perfil_3
5,F,30.0,Soltero,,Sector privado,Sony,0.0,3.0,Si,0.0,0.0,30.0,0.0,7.0,Perfil_4
35,M,24.0,Casado,Ingeniero de software,Desempleados,LG,10.0,4.0,Si,50.0,31.0,0.0,15.0,15.0,Perfil_1
84,M,30.0,Soltero,,Institucion publica,Samsung s3,5.0,3.0,Si,,1.0,0.0,0.0,15.0,Perfil_4
118,M,35.0,Casado,Desempleados,Sector privado,Iphone ,5.0,6.0,Si,31.0,31.0,1.0,0.0,15.0,Perfil_2
22,,30.0,Soltero,Ingenieria en computacion,Institucion publica,Samsung S7,10.0,0.0,No,,4.0,1.0,15.0,15.0,Perfil_4
31,M,24.0,Casado,Profesor,Selfemployed ,,15.0,6.0,No,1.0,50.0,31.0,0.0,7.0,Perfil_1
92,0,30.0,Casado,Servidor publico,Institucion publica,Sony,5.0,3.0,Si,0.0,0.0,1.0,0.0,0.0,Perfil_4
183,F,35.0,Casado,Retirado,Institucion publica,Genaral Mobile,15.0,0.0,Si,1.0,1.0,31.0,0.0,1.0,Perfil_4
222,M,45.0,Soltero,Servidor publico,Sector privado,Iphone 5S,5.0,7.0,Si,31.0,50.0,4.0,0.0,15.0,Perfil_1
231,M,24.0,Casado,Minero,Desempleados,Samsung S7+,10.0,4.0,No,50.0,7.0,0.0,0.0,0.0,Perfil_3
210,F,40.0,Soltero,,Institucion publica,,15.0,3.0,No,0.0,50.0,1.0,0.0,1.0,Perfil_3
158,F,40.0,Soltero,,Institucion publica,Samsung,5.0,0.0,Si,50.0,7.0,15.0,0.0,4.0,Perfil_2
162,F,45.0,Casado,Profesor,Institucion publica,HTC,5.0,3.0,Si,0.0,1.0,15.0,0.0,31.0,Perfil_3
142,M,45.0,Casado,,Sector privado,,10.0,6.0,Si,1.0,30.0,1.0,1.0,31.0,Perfil_2
68,F,45.0,Soltero,Ingeniero biomedico,Institucion publica,SAMSUNG S6,10.0,6.0,Si,31.0,0.0,0.0,15.0,0.0,Perfil_3
73,F,30.0,Casado,Ingeniero de informacion,Sector privado,Samsung,10.0,3.0,No,31.0,0.0,0.0,0.0,0.0,Perfil_4
60,M,35.0,Casado,,Sector privado,Android,5.0,6.0,No,,50.0,31.0,0.0,31.0,Perfil_1
160,M,30.0,Soltero,Desempleados,Desempleados,HTC M8,10.0,0.0,No,30.0,4.0,15.0,15.0,7.0,Perfil_2
13,F,40.0,Casado,Psicologo,Desempleados,Samsung S7+,5.0,3.0,Si,30.0,1.0,1.0,0.0,31.0,Perfil_3
95,F,35.0,Soltero,Servidor publico,Desempleados,Iphone ,10.0,,Si,1.0,0.0,1.0,0.0,1.0,Perfil_4
